data,localidade,temp_min,temp_max,chuva_mm,evaporacao,horas_sol,vento_rajada_direcao,vento_rajada_velocidade,vento_direcao_9h,vento_direcao_15h,vento_veloc_9h,vento_veloc_15h,umidade_9h,umidade_15h,pressao_9h,pressao_15h,nuvem_9h,nuvem_15h,temp_9h,temp_15h,choveu_hoje,chove_amanha,ano,mes,dia,cluster_temp_min,cluster_temp_max,cluster_temp_9h,cluster_temp_15h,cluster_umidade_9h,cluster_umidade_15h,cluster_chuva_mm,cluster_rajada_vento,cluster_hora_sol,cluster_pressao_at_9h,cluster_pressao_at_15h,cluster_nuvem_9h
2010-10-22,Sydney,15.3,23.0,0.0,5.6,11.0,NNE,41.0,W,ENE,6.0,19.0,70.0,63.0,1021.4,1017.8,1.0,4.0,19.0,22.2,No,No,2010,10,22,ameno,quente,ameno,quente,ameno,ameno,seco,forte,muitas horas de sol,alta,normal,parcialmente nublado
2010-10-23,Sydney,15.8,27.2,0.0,8.0,6.9,NW,52.0,W,WSW,7.0,4.0,59.0,82.0,1016.6,1015.1,4.0,4.0,21.4,19.3,No,Yes,2010,10,23,ameno,quente,quente,ameno,ameno,tropical,seco,forte,médias horas de sol,normal,normal,parcialmente nublado
2010-10-24,Sydney,14.1,15.7,30.6,7.4,0.0,SSE,48.0,SSE,S,22.0,20.0,92.0,75.0,1021.1,1020.6,4.0,4.0,14.1,15.7,Yes,Yes,2010,10,24,ameno,ameno,ameno,ameno,tropical,tropical,extrema,forte,poucas horas de sol,alta,alta,parcialmente nublado
2010-10-25,Sydney,13.9,19.6,14.0,1.2,5.4,SSW,50.0,SW,S,17.0,22.0,90.0,64.0,1018.2,1018.4,7.0,6.0,15.5,19.1,Yes,No,2010,10,25,ameno,ameno,ameno,ameno,tropical,ameno,forte,forte,médias horas de sol,normal,normal,parcialmente nublado
2010-10-26,Sydney,12.9,26.7,0.2,3.8,12.1,NE,33.0,W,ENE,13.0,24.0,73.0,56.0,1018.0,1015.0,1.0,5.0,17.8,22.5,No,No,2010,10,26,ameno,quente,ameno,quente,tropical,ameno,seco,moderado,muitas horas de sol,normal,normal,parcialmente nublado
2010-10-27,Sydney,14.8,23.8,0.0,6.8,9.6,SSE,54.0,SSE,SE,13.0,26.0,76.0,69.0,1016.0,1014.7,2.0,7.0,20.2,20.6,No,Yes,2010,10,27,ameno,quente,quente,quente,tropical,ameno,seco,forte,muitas horas de sol,normal,normal,parcialmente nublado
2010-10-28,Sydney,16.4,21.4,1.8,5.4,8.9,ESE,33.0,SE,ESE,17.0,19.0,65.0,53.0,1021.5,1020.4,4.0,4.0,18.3,20.2,Yes,No,2010,10,28,ameno,quente,ameno,quente,ameno,ameno,seco,moderado,médias horas de sol,alta,alta,parcialmente nublado
2010-10-29,Sydney,14.5,22.1,0.2,6.2,1.8,ENE,31.0,WNW,ENE,11.0,15.0,82.0,59.0,1020.7,1017.5,7.0,7.0,16.2,20.5,No,No,2010,10,29,ameno,quente,ameno,quente,tropical,ameno,seco,moderado,poucas horas de sol,alta,normal,parcialmente nublado
2010-10-30,Sydney,16.2,24.4,0.0,3.2,9.9,NE,56.0,N,NE,9.0,22.0,70.0,64.0,1015.1,1012.2,4.0,4.0,22.0,23.8,No,No,2010,10,30,ameno,quente,quente,quente,ameno,ameno,seco,forte,muitas horas de sol,normal,normal,parcialmente nublado
2010-10-31,Sydney,19.3,24.7,0.0,7.2,5.5,NE,50.0,NE,NE,19.0,28.0,81.0,64.0,1012.0,1010.6,4.0,4.0,20.7,24.2,No,Yes,2010,10,31,ameno,quente,quente,quente,tropical,ameno,seco,forte,médias horas de sol,normal,normal,parcialmente nublado
2010-11-01,Sydney,18.1,20.4,5.2,6.6,0.1,SSE,48.0,S,SSE,22.0,28.0,78.0,77.0,1014.7,1012.1,8.0,8.0,18.7,18.6,Yes,Yes,2010,11,1,ameno,quente,ameno,ameno,tropical,tropical,moderada,forte,poucas horas de sol,normal,normal,nublado
2010-11-02,Sydney,11.8,17.9,32.6,3.8,1.7,WSW,54.0,W,SSE,31.0,24.0,77.0,59.0,1011.8,1012.8,4.0,7.0,13.3,17.8,Yes,No,2010,11,2,ameno,ameno,ameno,ameno,tropical,ameno,extrema,forte,poucas horas de sol,normal,normal,parcialmente nublado
2010-11-03,Sydney,12.0,23.9,0.2,4.0,11.9,SE,44.0,W,ESE,13.0,24.0,65.0,54.0,1018.1,1016.3,1.0,3.0,17.6,20.7,No,No,2010,11,3,ameno,quente,ameno,quente,ameno,ameno,seco,forte,muitas horas de sol,normal,normal,parcialmente nublado
2010-11-04,Sydney,14.4,18.1,0.4,5.4,2.8,ESE,48.0,S,SE,15.0,20.0,83.0,68.0,1022.3,1020.5,7.0,7.0,14.8,17.6,No,Yes,2010,11,4,ameno,ameno,ameno,ameno,tropical,ameno,seco,forte,poucas horas de sol,alta,alta,parcialmente nublado
2010-11-05,Sydney,13.4,19.2,8.4,8.4,2.7,SE,46.0,SE,SSE,17.0,30.0,67.0,53.0,1023.9,1022.1,7.0,7.0,15.2,17.8,Yes,Yes,2010,11,5,ameno,ameno,ameno,ameno,ameno,ameno,moderada,forte,poucas horas de sol,alta,alta,parcialmente nublado
2010-11-06,Sydney,13.6,18.8,26.0,4.8,2.5,ESE,37.0,SSW,SSE,7.0,15.0,93.0,81.0,1023.8,1021.9,4.0,4.0,14.1,16.7,Yes,Yes,2010,11,6,ameno,ameno,ameno,ameno,tropical,tropical,forte,moderado,poucas horas de sol,alta,alta,parcialmente nublado
2010-11-07,Sydney,13.4,23.3,8.8,3.6,10.9,NE,37.0,WNW,E,13.0,26.0,77.0,59.0,1021.3,1018.1,4.0,4.0,16.6,20.7,Yes,No,2010,11,7,ameno,quente,ameno,quente,tropical,ameno,moderada,moderado,muitas horas de sol,alta,normal,parcialmente nublado
2010-11-08,Sydney,16.1,26.3,0.0,5.8,7.9,SW,74.0,E,NNE,7.0,28.0,64.0,52.0,1017.2,1015.1,3.0,7.0,23.3,23.8,No,Yes,2010,11,8,ameno,quente,quente,quente,ameno,ameno,seco,tempestade,médias horas de sol,normal,normal,parcialmente nublado
2010-11-09,Sydney,17.2,23.6,5.6,11.2,7.0,SSE,37.0,SSE,E,22.0,11.0,80.0,54.0,1025.0,1024.2,7.0,8.0,19.7,23.2,Yes,No,2010,11,9,ameno,quente,ameno,quente,tropical,ameno,moderada,moderado,médias horas de sol,alta,alta,nublado
2010-11-10,Sydney,18.2,24.5,0.0,3.2,6.0,N,52.0,WNW,ENE,6.0,30.0,87.0,72.0,1021.8,1017.1,5.0,7.0,20.9,23.5,No,Yes,2010,11,10,ameno,quente,quente,quente,tropical,tropical,seco,forte,médias horas de sol,alta,normal,parcialmente nublado
2010-11-11,Sydney,19.7,27.2,8.6,7.2,9.3,E,30.0,ESE,E,7.0,24.0,77.0,43.0,1014.9,1012.0,5.0,3.0,20.1,25.0,Yes,No,2010,11,11,ameno,quente,quente,quente,tropical,ameno,moderada,moderado,muitas horas de sol,normal,normal,parcialmente nublado
2010-11-14,Sydney,20.5,30.4,0.0,9.0,10.2,NNE,50.0,ENE,NNE,13.0,28.0,70.0,56.0,1015.7,1012.8,4.0,4.0,26.1,27.2,No,No,2010,11,14,quente,quente,quente,quente,ameno,ameno,seco,forte,muitas horas de sol,normal,normal,parcialmente nublado
2010-11-15,Sydney,22.3,23.9,0.0,10.4,0.0,SSE,30.0,SW,SE,9.0,7.0,70.0,95.0,1012.8,1012.6,4.0,4.0,23.9,19.4,No,Yes,2010,11,15,quente,quente,quente,ameno,ameno,tropical,seco,moderado,poucas horas de sol,normal,normal,parcialmente nublado
2010-11-16,Sydney,17.4,23.5,21.0,1.0,7.9,ESE,35.0,S,SSE,13.0,20.0,82.0,65.0,1013.3,1011.3,7.0,3.0,18.8,22.8,Yes,No,2010,11,16,ameno,quente,ameno,quente,tropical,ameno,forte,moderado,médias horas de sol,normal,normal,parcialmente nublado
2010-11-17,Sydney,17.1,22.3,0.4,6.6,4.2,SSE,28.0,S,E,17.0,15.0,80.0,61.0,1017.1,1015.7,7.0,6.0,17.5,21.0,No,No,2010,11,17,ameno,quente,ameno,quente,tropical,ameno,seco,moderado,poucas horas de sol,normal,normal,parcialmente nublado
2010-11-18,Sydney,16.8,23.4,1.0,3.6,8.8,NE,35.0,N,NE,7.0,20.0,65.0,59.0,1015.2,1012.2,3.0,6.0,22.3,22.6,No,No,2010,11,18,ameno,quente,quente,quente,ameno,ameno,seco,moderado,médias horas de sol,normal,normal,parcialmente nublado
2010-11-19,Sydney,16.7,20.0,0.0,8.0,0.4,SSE,67.0,S,SSE,26.0,33.0,71.0,58.0,1021.8,1024.0,7.0,8.0,17.4,18.5,No,No,2010,11,19,ameno,ameno,ameno,ameno,tropical,ameno,seco,forte,poucas horas de sol,alta,alta,nublado
2010-11-20,Sydney,13.7,21.9,0.0,5.4,13.3,E,30.0,SSE,ESE,2.0,19.0,58.0,51.0,1027.2,1015.8,4.0,4.0,20.0,21.8,No,No,2010,11,20,ameno,quente,ameno,quente,ameno,ameno,seco,moderado,muitas horas de sol,alta,normal,parcialmente nublado
2010-11-21,Sydney,15.0,23.1,0.0,5.6,12.8,ENE,39.0,NE,E,17.0,26.0,64.0,55.0,1018.2,1022.9,4.0,4.0,17.6,22.6,No,No,2010,11,21,ameno,quente,ameno,quente,ameno,ameno,seco,moderado,muitas horas de sol,normal,alta,parcialmente nublado
2010-11-22,Sydney,16.5,24.0,0.0,9.0,11.4,NE,44.0,WNW,E,4.0,26.0,82.0,54.0,1026.0,1024.3,6.0,2.0,19.3,23.2,No,No,2010,11,22,ameno,quente,ameno,quente,tropical,ameno,seco,forte,muitas horas de sol,alta,alta,parcialmente nublado
2010-11-23,Sydney,18.6,25.2,0.0,8.0,11.1,ENE,46.0,NNE,NE,22.0,24.0,63.0,51.0,1027.2,1015.8,4.0,4.0,22.5,21.8,No,No,2010,11,23,ameno,quente,quente,quente,ameno,ameno,seco,forte,muitas horas de sol,alta,normal,parcialmente nublado
2010-11-24,Sydney,17.5,24.7,0.0,11.0,12.6,NE,56.0,NNE,NE,17.0,26.0,60.0,58.0,1025.3,1022.0,2.0,1.0,22.8,24.1,No,No,2010,11,24,ameno,quente,quente,quente,ameno,ameno,seco,forte,muitas horas de sol,alta,alta,parcialmente nublado
2010-11-25,Sydney,18.5,26.0,0.0,8.8,12.1,NE,44.0,E,NE,17.0,20.0,67.0,53.0,1020.5,1017.7,1.0,1.0,22.5,25.2,No,No,2010,11,25,ameno,quente,quente,quente,ameno,ameno,seco,forte,muitas horas de sol,alta,normal,parcialmente nublado
2010-11-26,Sydney,18.9,24.1,0.0,11.6,9.0,NE,37.0,E,E,13.0,19.0,62.0,72.0,1017.3,1015.3,5.0,7.0,23.9,22.4,No,No,2010,11,26,ameno,quente,quente,quente,ameno,tropical,seco,moderado,médias horas de sol,normal,normal,parcialmente nublado
2010-11-27,Sydney,18.2,25.8,0.0,6.0,10.8,NNE,63.0,E,NE,6.0,28.0,77.0,56.0,1015.6,1012.0,4.0,4.0,22.3,25.5,No,No,2010,11,27,ameno,quente,quente,quente,tropical,ameno,seco,forte,muitas horas de sol,normal,normal,parcialmente nublado
2010-11-28,Sydney,19.0,23.5,0.0,10.8,0.0,NNE,44.0,NE,NE,9.0,13.0,73.0,64.0,1010.9,1010.2,4.0,4.0,21.7,23.0,No,Yes,2010,11,28,ameno,quente,quente,quente,tropical,ameno,seco,forte,poucas horas de sol,normal,normal,parcialmente nublado
2010-11-29,Sydney,16.8,21.5,5.8,3.4,0.0,SSW,56.0,SSW,S,30.0,28.0,85.0,77.0,1013.6,1012.9,4.0,4.0,18.0,20.8,Yes,Yes,2010,11,29,ameno,quente,ameno,quente,tropical,tropical,moderada,forte,poucas horas de sol,normal,normal,parcialmente nublado
2010-11-30,Sydney,16.4,21.6,5.6,1.8,0.9,SSW,44.0,S,SSE,11.0,17.0,94.0,91.0,1016.4,1014.5,8.0,8.0,17.3,20.2,Yes,Yes,2010,11,30,ameno,quente,ameno,quente,tropical,tropical,moderada,forte,poucas horas de sol,normal,normal,nublado
2010-12-01,Sydney,17.2,20.1,27.6,3.4,0.0,E,43.0,ENE,E,30.0,19.0,94.0,89.0,1016.4,1015.3,8.0,8.0,18.9,19.9,Yes,Yes,2010,12,1,ameno,quente,ameno,ameno,tropical,tropical,forte,forte,poucas horas de sol,normal,normal,nublado
2010-12-02,Sydney,18.5,24.3,21.0,1.8,5.4,ENE,44.0,ENE,ENE,17.0,22.0,91.0,78.0,1018.0,1015.9,8.0,7.0,20.1,22.7,Yes,No,2010,12,2,ameno,quente,quente,quente,tropical,tropical,forte,forte,médias horas de sol,normal,normal,parcialmente nublado
2010-12-03,Sydney,19.8,24.4,0.2,5.2,8.7,ENE,43.0,NNE,E,17.0,24.0,70.0,74.0,1017.3,1014.7,2.0,6.0,23.7,23.2,No,No,2010,12,3,ameno,quente,quente,quente,ameno,tropical,seco,forte,médias horas de sol,normal,normal,parcialmente nublado
2010-12-04,Sydney,19.6,22.7,0.0,7.4,1.6,NE,31.0,NNW,E,6.0,19.0,84.0,80.0,1013.0,1010.2,4.0,4.0,20.9,22.0,No,Yes,2010,12,4,ameno,quente,quente,quente,tropical,tropical,seco,moderado,poucas horas de sol,normal,normal,parcialmente nublado
2010-12-05,Sydney,19.5,25.1,1.4,4.4,8.0,E,30.0,WNW,E,6.0,17.0,64.0,51.0,1018.2,1015.8,4.0,4.0,17.6,21.8,Yes,No,2010,12,5,ameno,quente,ameno,quente,ameno,ameno,seco,moderado,médias horas de sol,normal,normal,parcialmente nublado
2010-12-06,Sydney,20.4,25.7,1.0,5.8,11.4,ESE,28.0,ESE,ESE,7.0,19.0,74.0,67.0,1014.2,1013.3,5.0,5.0,23.6,25.5,No,No,2010,12,6,quente,quente,quente,quente,tropical,ameno,seco,moderado,muitas horas de sol,normal,normal,parcialmente nublado
2010-12-07,Sydney,21.0,26.0,0.0,8.0,13.2,ENE,43.0,E,ENE,19.0,24.0,73.0,63.0,1016.5,1015.4,6.0,3.0,23.5,25.4,No,No,2010,12,7,quente,quente,quente,quente,tropical,ameno,seco,forte,muitas horas de sol,normal,normal,parcialmente nublado
2010-12-08,Sydney,20.8,26.3,0.0,7.6,12.2,NE,63.0,NE,NE,15.0,28.0,67.0,68.0,1016.7,1012.5,3.0,5.0,24.8,25.7,No,No,2010,12,8,quente,quente,quente,quente,ameno,ameno,seco,forte,muitas horas de sol,normal,normal,parcialmente nublado
2010-12-09,Sydney,22.0,30.7,0.0,10.4,2.6,N,31.0,NE,SSE,13.0,9.0,80.0,62.0,1010.8,1008.2,7.0,8.0,23.4,28.3,No,No,2010,12,9,quente,quente,quente,quente,tropical,ameno,seco,moderado,poucas horas de sol,normal,baixa,nublado
2010-12-10,Sydney,22.8,29.6,0.0,4.8,4.3,S,46.0,WSW,E,17.0,28.0,74.0,72.0,1009.4,1006.0,8.0,7.0,23.6,24.0,No,No,2010,12,10,quente,quente,quente,quente,tropical,tropical,seco,forte,poucas horas de sol,normal,baixa,parcialmente nublado
2010-12-11,Sydney,17.2,26.9,0.0,6.8,13.4,NE,39.0,W,ENE,13.0,22.0,46.0,56.0,1007.9,1003.1,4.0,4.0,22.2,23.4,No,No,2010,12,11,ameno,quente,quente,quente,ameno,ameno,seco,moderado,muitas horas de sol,baixa,baixa,parcialmente nublado
2010-12-12,Sydney,17.8,30.8,0.0,9.2,13.3,SSW,46.0,W,ENE,6.0,28.0,47.0,40.0,1004.0,1003.7,4.0,4.0,24.8,26.1,No,No,2010,12,12,ameno,quente,quente,quente,ameno,seca,seco,forte,muitas horas de sol,baixa,baixa,parcialmente nublado
2010-12-13,Sydney,18.5,26.3,0.0,10.2,12.8,SSW,44.0,SSW,ESE,15.0,24.0,62.0,51.0,1013.5,1012.7,2.0,1.0,22.6,25.5,No,No,2010,12,13,ameno,quente,quente,quente,ameno,ameno,seco,forte,muitas horas de sol,normal,normal,parcialmente nublado
2010-12-14,Sydney,20.0,26.0,0.0,8.2,11.6,SSE,35.0,SE,ESE,17.0,19.0,69.0,51.0,1016.1,1015.8,6.0,4.0,23.4,21.8,No,No,2010,12,14,ameno,quente,quente,quente,ameno,ameno,seco,moderado,muitas horas de sol,normal,normal,parcialmente nublado
2010-12-15,Sydney,20.0,25.6,0.0,6.0,10.7,NNE,43.0,E,E,11.0,24.0,71.0,69.0,1010.8,1006.7,4.0,4.0,24.0,24.7,No,No,2010,12,15,ameno,quente,quente,quente,tropical,ameno,seco,forte,muitas horas de sol,normal,baixa,parcialmente nublado
2010-12-16,Sydney,21.7,26.4,0.0,7.6,3.9,SSE,52.0,ENE,NNW,4.0,6.0,72.0,91.0,1003.8,1006.0,5.0,8.0,24.7,20.6,No,Yes,2010,12,16,quente,quente,quente,quente,tropical,tropical,seco,forte,poucas horas de sol,baixa,baixa,nublado
2010-12-17,Sydney,18.0,26.4,7.6,5.8,3.8,NW,41.0,SSW,ESE,6.0,6.0,75.0,71.0,1005.7,1003.5,8.0,6.0,20.5,23.0,Yes,No,2010,12,17,ameno,quente,quente,quente,tropical,tropical,moderada,forte,poucas horas de sol,baixa,baixa,parcialmente nublado
2010-12-18,Sydney,19.6,25.5,0.0,7.8,4.1,W,57.0,NW,NW,24.0,26.0,57.0,44.0,1003.1,999.6,4.0,4.0,20.7,25.4,No,No,2010,12,18,ameno,quente,quente,quente,ameno,ameno,seco,forte,poucas horas de sol,baixa,baixa,parcialmente nublado
2010-12-19,Sydney,18.5,27.3,0.0,5.0,5.0,WSW,65.0,N,N,15.0,33.0,69.0,44.0,1003.5,995.6,4.0,4.0,19.8,26.4,No,Yes,2010,12,19,ameno,quente,ameno,quente,ameno,ameno,seco,forte,médias horas de sol,baixa,baixa,parcialmente nublado
2010-12-20,Sydney,13.3,21.7,4.8,9.2,11.6,W,72.0,W,W,41.0,41.0,42.0,32.0,997.6,1000.7,1.0,2.0,16.7,21.3,Yes,No,2010,12,20,ameno,quente,ameno,quente,ameno,seca,moderada,tempestade,muitas horas de sol,baixa,baixa,parcialmente nublado
2010-12-21,Sydney,15.4,27.8,0.0,8.4,13.5,W,52.0,WNW,WNW,26.0,20.0,36.0,26.0,1008.7,1007.9,1.0,1.0,21.3,27.1,No,No,2010,12,21,ameno,quente,quente,quente,seca,seca,seco,forte,muitas horas de sol,baixa,baixa,parcialmente nublado
2010-12-22,Sydney,17.7,25.7,0.0,9.2,12.7,SE,41.0,SE,SSE,19.0,26.0,71.0,61.0,1018.5,1017.6,5.0,5.0,22.0,25.2,No,No,2010,12,22,ameno,quente,quente,quente,tropical,ameno,seco,forte,muitas horas de sol,normal,normal,parcialmente nublado
2010-12-23,Sydney,19.1,27.0,0.0,8.4,7.5,SSE,59.0,W,E,9.0,19.0,72.0,57.0,1018.1,1016.5,6.0,5.0,21.4,26.2,No,No,2010,12,23,ameno,quente,quente,quente,tropical,ameno,seco,forte,médias horas de sol,normal,normal,parcialmente nublado
2010-12-24,Sydney,18.7,24.1,0.0,8.0,8.0,SE,44.0,ESE,ESE,19.0,19.0,65.0,47.0,1026.1,1023.7,4.0,4.0,19.8,23.6,No,No,2010,12,24,ameno,quente,ameno,quente,ameno,ameno,seco,forte,médias horas de sol,alta,alta,parcialmente nublado
2010-12-26,Sydney,20.8,31.3,0.8,8.0,3.5,SSE,76.0,W,WNW,20.0,15.0,88.0,56.0,1006.3,1001.4,4.0,4.0,21.1,28.7,No,Yes,2010,12,26,quente,quente,quente,quente,tropical,ameno,seco,tempestade,poucas horas de sol,baixa,baixa,parcialmente nublado
2010-12-27,Sydney,18.4,19.9,17.0,11.8,0.3,SSE,57.0,SSW,SSE,15.0,28.0,88.0,78.0,1005.5,1005.8,4.0,4.0,18.5,18.9,Yes,Yes,2010,12,27,ameno,ameno,ameno,ameno,tropical,tropical,forte,forte,poucas horas de sol,baixa,baixa,parcialmente nublado
2010-12-28,Sydney,15.4,21.2,1.8,5.4,2.5,SSE,39.0,SSE,ESE,11.0,19.0,59.0,50.0,1018.9,1019.1,4.0,4.0,19.0,20.7,Yes,No,2010,12,28,ameno,quente,ameno,quente,ameno,ameno,seco,moderado,poucas horas de sol,normal,alta,parcialmente nublado
2010-12-29,Sydney,17.3,24.7,0.0,5.2,12.7,NE,48.0,WSW,NE,4.0,28.0,66.0,56.0,1018.5,1014.8,4.0,4.0,21.1,24.1,No,No,2010,12,29,ameno,quente,quente,quente,ameno,ameno,seco,forte,muitas horas de sol,normal,normal,parcialmente nublado
2010-12-30,Sydney,20.0,26.5,0.0,8.6,13.1,E,30.0,E,E,7.0,20.0,64.0,63.0,1016.6,1015.3,4.0,4.0,24.7,24.8,No,No,2010,12,30,ameno,quente,quente,quente,ameno,ameno,seco,moderado,muitas horas de sol,normal,normal,parcialmente nublado
2010-12-31,Sydney,21.4,27.2,0.0,8.8,11.7,NE,46.0,ESE,ENE,7.0,28.0,78.0,65.0,1016.0,1013.9,4.0,4.0,24.0,26.4,No,No,2010,12,31,quente,quente,quente,quente,tropical,ameno,seco,forte,muitas horas de sol,normal,normal,parcialmente nublado
2011-01-01,Sydney,20.5,29.0,0.0,10.0,10.8,NE,39.0,E,ENE,13.0,20.0,69.0,58.0,1013.2,1010.1,4.0,4.0,25.5,27.1,No,No,2011,1,1,quente,quente,quente,quente,ameno,ameno,seco,moderado,muitas horas de sol,normal,normal,parcialmente nublado
2011-01-02,Sydney,20.7,28.0,0.0,10.6,8.6,S,52.0,SE,SSE,9.0,26.0,72.0,62.0,1011.9,1010.8,4.0,4.0,24.7,26.6,No,Yes,2011,1,2,quente,quente,quente,quente,tropical,ameno,seco,forte,médias horas de sol,normal,normal,parcialmente nublado
2011-01-03,Sydney,18.9,21.3,5.6,7.2,0.1,SSW,50.0,S,SSE,17.0,20.0,81.0,84.0,1014.5,1013.9,4.0,4.0,19.9,19.2,Yes,Yes,2011,1,3,ameno,quente,ameno,ameno,tropical,tropical,moderada,forte,poucas horas de sol,normal,normal,parcialmente nublado
2011-01-04,Sydney,17.3,22.6,3.0,5.0,1.9,SSE,35.0,SSW,SE,20.0,19.0,74.0,60.0,1014.1,1011.6,4.0,4.0,20.1,21.8,Yes,No,2011,1,4,ameno,quente,quente,quente,tropical,ameno,moderada,moderado,poucas horas de sol,normal,normal,parcialmente nublado
2011-01-05,Sydney,17.2,23.4,0.0,5.4,7.2,S,26.0,WNW,E,6.0,20.0,64.0,57.0,1008.0,1005.8,4.0,4.0,21.1,23.0,No,No,2011,1,5,ameno,quente,quente,quente,ameno,ameno,seco,moderado,médias horas de sol,baixa,baixa,parcialmente nublado
2011-01-06,Sydney,19.5,26.8,0.0,5.2,12.3,S,41.0,S,S,20.0,17.0,72.0,57.0,1010.8,1011.1,4.0,4.0,22.6,24.9,No,Yes,2011,1,6,ameno,quente,quente,quente,tropical,ameno,seco,forte,muitas horas de sol,normal,normal,parcialmente nublado
2011-01-07,Sydney,19.9,26.5,7.6,6.4,4.8,ESE,33.0,SSE,E,9.0,17.0,88.0,67.0,1013.6,1013.0,4.0,4.0,22.1,26.5,Yes,Yes,2011,1,7,ameno,quente,quente,quente,tropical,ameno,moderada,moderado,médias horas de sol,normal,normal,parcialmente nublado
2011-01-08,Sydney,21.3,26.7,6.6,5.2,10.3,ENE,31.0,ENE,E,11.0,20.0,68.0,62.0,1013.8,1012.1,4.0,4.0,24.3,26.4,Yes,Yes,2011,1,8,quente,quente,quente,quente,ameno,ameno,moderada,moderado,muitas horas de sol,normal,normal,parcialmente nublado
